Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 14/15,Valencia,Getafe,1,0,H,13,10,3,1,16,10,7,2,3,4,0,0,Valencia,Getafe
Сезон 14/15,Getafe,Espanol,2,1,H,10,11,4,7,15,14,2,5,3,3,0,0,Getafe,Espanol
Сезон 14/15,Sociedad,Sevilla,4,3,H,17,17,8,5,16,12,5,10,5,3,0,0,Sociedad,Sevilla
Сезон 14/15,Villarreal,Eibar,1,0,H,21,10,6,1,5,3,8,3,2,0,0,0,Villarreal,Eibar
Сезон 14/15,Levante,Granada,2,1,H,9,10,4,4,18,14,7,4,3,5,1,2,Levante,Granada
Сезон 14/15,Granada,Barcelona,1,3,A,10,16,4,9,18,9,4,5,2,3,0,0,Barcelona,Granada
Сезон 14/15,Eibar,Ath Bilbao,0,1,A,6,13,2,8,16,14,5,6,3,2,0,0,Ath Bilbao,Eibar
Сезон 14/15,Real Madrid,Villarreal,1,1,D,25,9,7,4,7,20,10,4,2,5,0,0,Ничья,Ничья
Сезон 14/15,Sevilla,Ath Madrid,0,0,D,13,9,4,2,13,14,7,1,4,7,0,0,Ничья,Ничья
Сезон 14/15,Valencia,Sociedad,2,0,H,19,8,3,0,14,14,9,5,3,3,0,0,Valencia,Sociedad
Сезон 14/15,Levante,Eibar,2,1,H,12,14,4,3,11,17,6,7,4,5,0,1,Levante,Eibar
Сезон 14/15,Ath Bilbao,Real Madrid,1,0,H,6,13,2,2,17,11,1,9,3,4,0,0,Ath Bilbao,Real Madrid
Сезон 14/15,Ath Madrid,Valencia,1,1,D,8,3,3,1,22,19,6,1,5,6,0,1,Ничья,Ничья
Сезон 14/15,Sociedad,Espanol,1,0,H,10,9,4,4,13,14,6,5,2,3,0,0,Sociedad,Espanol
Сезон 14/15,Villarreal,Celta,4,1,H,12,13,8,4,9,14,3,2,0,2,0,0,Villarreal,Celta
Сезон 14/15,Celta,Ath Bilbao,1,2,A,16,12,5,4,14,12,8,5,3,3,0,1,Ath Bilbao,Celta
Сезон 14/15,Eibar,Barcelona,0,2,A,13,12,2,4,14,3,6,3,1,0,0,0,Barcelona,Eibar
Сезон 14/15,Espanol,Ath Madrid,0,0,D,7,14,1,6,33,18,6,7,3,3,0,1,Ничья,Ничья
Сезон 14/15,Real Madrid,Levante,2,0,H,22,8,6,0,9,14,10,4,2,0,0,0,Real Madrid,Levante
Сезон 14/15,Getafe,Sociedad,0,1,A,14,10,5,4,14,12,6,5,4,1,0,0,Sociedad,Getafe
Сезон 14/15,Ath Madrid,Getafe,2,0,H,15,5,6,1,10,16,10,5,2,2,0,0,Ath Madrid,Getafe
Сезон 14/15,Granada,Eibar,0,0,D,17,4,4,1,14,17,7,5,4,1,0,0,Ничья,Ничья
Сезон 14/15,Levante,Celta,0,1,A,9,17,3,5,17,9,5,5,4,3,0,0,Celta,Levante
Сезон 14/15,Barcelona,Real Madrid,2,1,H,17,13,5,4,9,14,7,10,5,6,0,0,Barcelona,Real Madrid
Сезон 14/15,Villarreal,Sevilla,0,2,A,23,9,5,5,11,16,8,2,2,1,0,0,Sevilla,Villarreal
Сезон 14/15,Sevilla,Ath Bilbao,2,0,H,9,14,5,2,17,9,6,7,3,3,0,0,Sevilla,Ath Bilbao
Сезон 14/15,Celta,Barcelona,0,1,A,7,12,1,3,26,12,4,3,2,2,1,0,Barcelona,Celta
Сезон 14/15,Real Madrid,Granada,9,1,H,29,11,11,6,6,9,10,1,1,2,0,0,Real Madrid,Granada
Сезон 14/15,Valencia,Villarreal,0,0,D,13,5,3,2,14,18,2,6,2,5,0,0,Ничья,Ничья
Сезон 14/15,Ath Madrid,Sociedad,2,0,H,12,9,3,2,13,17,4,10,1,0,0,0,Ath Madrid,Sociedad
Сезон 14/15,Levante,Sevilla,1,2,A,19,12,6,5,16,16,12,3,4,5,0,0,Sevilla,Levante
Сезон 14/15,Granada,Celta,1,1,D,8,12,3,4,13,14,1,5,4,5,1,0,Ничья,Ничья
Сезон 14/15,Ath Bilbao,Valencia,1,1,D,12,7,4,4,17,15,8,3,5,3,0,1,Ничья,Ничья
Сезон 14/15,Villarreal,Espanol,0,3,A,7,14,2,4,14,14,7,2,1,1,0,0,Espanol,Villarreal
Сезон 14/15,Real Madrid,Eibar,3,0,H,24,4,13,2,10,18,7,4,0,3,0,0,Real Madrid,Eibar
Сезон 14/15,Sevilla,Barcelona,2,2,D,11,17,2,7,23,9,2,4,5,2,0,0,Ничья,Ничья
Сезон 14/15,Espanol,Ath Bilbao,1,0,H,5,10,1,2,14,13,7,1,2,2,0,0,Espanol,Ath Bilbao
Сезон 14/15,Getafe,Villarreal,1,1,D,12,9,2,4,9,16,11,5,2,6,0,0,Ничья,Ничья
Сезон 14/15,Valencia,Levante,3,0,H,13,11,5,1,12,12,5,4,3,3,0,0,Valencia,Levante
Сезон 14/15,Levante,Espanol,2,2,D,13,12,3,6,14,18,8,4,1,3,0,0,Ничья,Ничья
Сезон 14/15,Ath Bilbao,Getafe,4,0,H,27,1,8,1,12,12,6,1,2,4,0,1,Ath Bilbao,Getafe
Сезон 14/15,Barcelona,Valencia,2,0,H,11,11,5,3,18,17,6,3,4,4,0,0,Barcelona,Valencia
Сезон 14/15,Eibar,Celta,0,1,A,11,17,3,5,10,20,1,9,2,2,0,0,Celta,Eibar
Сезон 14/15,Granada,Sevilla,1,1,D,6,16,2,3,15,14,5,9,2,2,0,0,Ничья,Ничья
Сезон 14/15,Espanol,Barcelona,0,2,A,7,12,2,5,21,12,5,3,5,1,1,1,Barcelona,Espanol
Сезон 14/15,Getafe,Levante,0,1,A,10,9,2,3,9,14,5,5,4,3,0,0,Levante,Getafe
Сезон 14/15,Sociedad,Villarreal,0,0,D,13,19,2,4,15,13,7,9,1,4,0,0,Ничья,Ничья
Сезон 14/15,Celta,Real Madrid,2,4,A,20,10,4,7,17,6,5,4,3,2,0,0,Real Madrid,Celta
Сезон 14/15,Valencia,Granada,4,0,H,13,5,6,0,12,16,2,6,3,3,0,0,Valencia,Granada
Сезон 14/15,Ath Bilbao,Sociedad,1,1,D,11,13,3,8,16,13,7,3,2,2,0,1,Ничья,Ничья
Сезон 14/15,Barcelona,Getafe,6,0,H,21,7,12,3,11,5,5,6,0,0,0,0,Barcelona,Getafe
Сезон 14/15,Eibar,Sevilla,1,3,A,15,12,3,6,17,10,4,2,3,2,0,0,Sevilla,Eibar
Сезон 14/15,Villarreal,Ath Madrid,0,1,A,13,12,3,3,5,18,7,1,0,4,0,0,Ath Madrid,Villarreal
Сезон 14/15,Granada,Espanol,1,2,A,16,7,4,3,19,12,8,1,2,3,0,0,Espanol,Granada
Сезон 14/15,Sociedad,Levante,3,0,H,9,14,3,1,14,13,3,7,2,3,0,0,Sociedad,Levante
Сезон 14/15,Ath Madrid,Ath Bilbao,0,0,D,10,7,3,0,8,20,9,2,2,2,0,1,Ничья,Ничья
Сезон 14/15,Sevilla,Real Madrid,2,3,A,18,14,5,5,11,12,8,1,4,2,0,0,Real Madrid,Sevilla
Сезон 14/15,Getafe,Granada,1,2,A,17,14,5,6,14,17,4,6,3,4,0,0,Granada,Getafe
Сезон 14/15,Valencia,Eibar,3,1,H,13,7,6,1,8,17,7,5,2,1,0,0,Valencia,Eibar
Сезон 14/15,Eibar,Espanol,0,2,A,8,12,4,6,17,12,4,2,2,4,0,0,Espanol,Eibar
Сезон 14/15,Barcelona,Sociedad,2,0,H,15,5,8,1,9,13,10,3,1,5,0,0,Barcelona,Sociedad
Сезон 14/15,Real Madrid,Valencia,2,2,D,29,13,10,4,14,19,12,9,4,4,0,0,Ничья,Ничья
Сезон 14/15,Celta,Sevilla,1,1,D,13,8,2,4,17,15,4,2,3,5,0,0,Ничья,Ничья
Сезон 14/15,Levante,Ath Madrid,2,2,D,8,15,5,7,8,16,2,6,2,2,0,0,Ничья,Ничья
Сезон 14/15,Ath Madrid,Barcelona,0,1,A,10,15,3,5,23,7,6,5,5,3,0,0,Barcelona,Ath Madrid
Сезон 14/15,Espanol,Real Madrid,1,4,A,15,18,3,7,17,12,2,5,2,4,0,0,Real Madrid,Espanol
Сезон 14/15,Getafe,Eibar,1,1,D,13,5,3,1,11,12,6,4,0,2,0,0,Ничья,Ничья
Сезон 14/15,Sociedad,Granada,0,3,A,7,15,1,6,12,17,3,3,2,2,0,0,Granada,Sociedad
Сезон 14/15,Valencia,Celta,1,1,D,21,11,7,3,9,18,7,7,1,5,0,0,Ничья,Ничья
